date,close,volume,open,high,low
12:42,236.6,"313,166",239,239.16,235.52
8/13/2019,240.6,613243,240.29,243.98,238.11
8/12/2019,240.01,803848,247.19,248.75,239.48
8/9/2019,247.83,587055,246.19,250.98,243.54
8/8/2019,246.75,703328,246.25,248.85,244.985
8/7/2019,245.74,690834,241.72,246.205,240.5
8/6/2019,242.51,589765,241.21,244.26,240.0001
8/5/2019,239.72,990914,240.53,242.33,236.17
8/2/2019,244.75,537712,245.41,247.69,244.39
8/1/2019,245.83,760562,246.12,249.9,243.2
7/31/2019,244.53,920852,247.07,248.68,242.48
7/30/2019,247.55,1084086,251.52,252.39,245.75
7/29/2019,252.48,1172641,254.16,255.849,249.645
7/26/2019,259.06,567677,261.88,262.87,258.13
7/25/2019,260.67,801816,262.63,264.64,258.5835
7/24/2019,262.21,921341,259.43,263.5,258.4
7/23/2019,257.71,923623,257.06,257.8,254.935
7/22/2019,255.4,1231406,258.11,258.485,254.145
7/19/2019,257.93,1677565,252.8,259.09,252.8
7/18/2019,252.68,1623083,252.23,254.15,249.45
7/17/2019,253.01,3286675,245.5,253.5,244.6575
7/16/2019,246.54,6194181,254.3,263.57,245.95
7/15/2019,269.92,1668425,283.44,283.44,268.42
7/12/2019,282.11,571466,278.62,284.33,278.61
7/11/2019,277.64,600133,276.96,279.4,274.64
7/10/2019,275.35,746557,277.6,281.42,274.6304
7/9/2019,280,491275,276.42,280.89,276.42
7/8/2019,277.21,507097,277.2,278.9,273.025
7/5/2019,278.26,324315,279.21,281.5,277.64
7/3/2019,280.96,336046,274.34,282.1,274.34
7/2/2019,273.81,399023,271.1,276.58,271
7/1/2019,271.1,631671,279.58,281.99,270.42
6/28/2019,278.28,568173,278.11,279.77,275.27
6/27/2019,277.94,380758,275.57,279.34,274.1
6/26/2019,275.87,691610,277.43,278.175,271.38
6/25/2019,277.14,720910,276.2,277.84,273.41
6/24/2019,274.37,422677,280.77,280.77,272.28
6/21/2019,280.33,443425,280.43,281.28,277.89
6/20/2019,281.82,646418,280.14,282.24,274.56
6/19/2019,280.68,328297,281.61,282.61,277.82
6/18/2019,282.35,529542,282.5,285.37,280.04
6/17/2019,282,767735,281.19,286.37,280.65
6/14/2019,280.65,592411,281.57,284,280.63
6/13/2019,281.29,578588,283.37,285.145,278.93
6/12/2019,282,649686,279.81,285.68,279.2
6/11/2019,280.13,521332,284.05,286.28,279.22
6/10/2019,282.64,541269,289.26,289.26,279.68
6/7/2019,287,411702,287.47,290.6,285.01
6/6/2019,287,386656,285.76,289.37,285.71
6/5/2019,285.34,401983,285.1,289.585,283.93
6/4/2019,284,470527,278.59,284.14,278.16
6/3/2019,276.49,692984,279.7,282.37,273.9501
5/31/2019,279.5,520257,274.28,280.41,273.53
5/30/2019,277.28,518727,277.75,279.015,272.5
5/29/2019,277.73,432157,278.88,279.8,275.38
5/28/2019,280.73,473723,283.16,286.92,278.88
5/24/2019,282.61,320229,286.74,286.94,281.96
5/23/2019,285.31,417293,282.26,285.73,281.05
5/22/2019,284.43,282117,285,287.43,283.18
5/21/2019,284.97,582488,287.67,291.4,283.12
5/20/2019,284.86,661634,279.11,287.15,278.77
5/17/2019,281.25,500093,276.63,282.36,275.14
5/16/2019,277.84,449910,278.2,281.22,275.67
5/15/2019,276.67,335254,272,278,270.26
5/14/2019,272.86,449203,273.62,275.49,271.08
5/13/2019,273.88,750629,273.3,274.12,264.9905
5/10/2019,278.37,710997,281.05,284.44,275.08
5/9/2019,282.16,621831,280.56,283.5,278.28
5/8/2019,283.15,527134,276.1,283.91,275.325
5/7/2019,277.39,573751,279.46,281.54,275.37
5/6/2019,282.02,576332,274.51,283.87,274.46
5/3/2019,279.75,761012,276.56,280.43,274.3
5/2/2019,274.32,557646,270.78,274.47,270.6
5/1/2019,271.46,429521,271,274.66,270.11
4/30/2019,270.58,717540,269.51,273.235,268.75
4/29/2019,268.87,822997,273.43,273.79,265.34
4/26/2019,273.43,606604,276.45,279.39,272.73
4/25/2019,276.45,1348408,282.28,282.4625,271.61
4/24/2019,283.42,3792073,287,302.045,281.12
4/23/2019,270.2,1743201,267,271.635,266.62
4/22/2019,266,1747697,267.81,268.67,265.295
4/18/2019,267.61,968604,266.63,270.85,266.08
4/17/2019,265.25,1590566,263,267.92,261.53
4/16/2019,255.34,861490,259.87,261.74,252.78
4/15/2019,258.9,695386,256.25,259.47,251.12
4/12/2019,257.61,838817,256.69,259.94,253.66
4/11/2019,255.55,1137460,250.33,257.99,250.29
4/10/2019,248.94,787936,249,249.54,246.5
4/9/2019,247.83,846663,246.56,249.17,246.3
4/8/2019,247.5,813235,253.67,254.4475,246.7
4/5/2019,254.56,884124,249.83,254.58,248.01
4/4/2019,248.94,769661,254.12,254.365,246.245
4/3/2019,253.11,1004898,247.96,253.8,244.74
4/2/2019,245.22,1076788,250,250.71,244.93
4/1/2019,249.45,1333500,258.71,259.26,249.44
3/29/2019,258.1,1111756,255,260.51,254.17
3/28/2019,253.92,904881,247.35,254.16,244.95
3/27/2019,247.58,566409,244.81,249.48,244.81
3/26/2019,245.4,682279,244.38,245.72,242.915
3/25/2019,242.56,685697,239.52,244.3,239.305
3/22/2019,239.25,841789,243.4,245,239.17
3/21/2019,245.05,691060,244.03,247.71,244.03
3/20/2019,243.94,637444,248.61,248.63,241.93
3/19/2019,248.76,1328973,249.5,250.8552,244.915
3/18/2019,243.41,1043410,244.8,247.99,240.57
3/15/2019,244.27,1038089,247.86,248.01,243.21
3/14/2019,247.25,692608,245.5,248.08,242.4
3/13/2019,245.37,918793,241.98,248.09,240.37
3/12/2019,240,1264040,247.44,247.56,239.94
3/11/2019,246.99,879437,250.82,251.14,245.255
3/8/2019,250.52,744839,245.96,250.61,245.24
3/7/2019,247.94,454731,248.89,249.04,245.57
3/6/2019,248.6,538412,249.67,251.15,247.43
3/5/2019,249.33,577321,249.91,252.65,247.55
3/4/2019,248.57,776269,250.77,252.5,245.009
3/1/2019,250.73,781249,253.12,253.7,245.87
2/28/2019,250.94,1047140,251.87,252.715,247.96
2/27/2019,252.51,568190,251.48,255.13,251.18
2/26/2019,252.81,997543,255.96,257.9,252.03
2/25/2019,255.94,1231650,261.87,262.31,253.58
2/22/2019,260.71,1784864,252.2,262.9,252.2
2/21/2019,253.01,3872957,261.48,262.4,250.02
2/20/2019,278.49,1054638,279.69,280.48,276.33
2/19/2019,279.23,930362,280.09,281.64,275.7
2/15/2019,281.65,822472,288.08,289.635,279.35
2/14/2019,287.18,871837,286.63,291.78,285.86
2/13/2019,288.8,474260,287.72,289.79,284.26
2/12/2019,287.21,729254,295.9,297.16,286.57
2/11/2019,294.86,614367,291.18,295.52,289.51
2/8/2019,290.16,511887,286.39,292.36,286.22
2/7/2019,288.89,374283,286.84,289.44,282.46
2/6/2019,287.89,633722,290,296.57,286.75
2/5/2019,289.29,498374,281.15,289.58,281.15
2/4/2019,281.07,519884,278.17,281.45,278.11
2/1/2019,278.39,683031,281.92,284.48,277.6
1/31/2019,283.73,717514,276.36,285,275.47
1/30/2019,277.06,535456,276.85,281.61,275.07
1/29/2019,274.85,672964,278.74,278.99,272.86
1/28/2019,279.79,748953,281.74,282.57,275.23
1/25/2019,284.16,910092,280.26,284.91,279
1/24/2019,276.88,985183,273.91,279.15,270.52
1/23/2019,273.16,649818,266.07,273.37,264.02
1/22/2019,263.43,1193069,265.38,267.85,261.19
1/18/2019,267.46,1210822,265.59,268,260.46
1/17/2019,258.94,1406465,244.67,258.95,243.5
1/16/2019,246.85,467677,247.71,250.23,244.02
1/15/2019,247.89,564189,244.38,249.67,242.87
1/14/2019,244.17,665885,248.07,248.07,243
1/11/2019,248.99,432629,246.98,251.95,246.625
1/10/2019,246.19,468939,245.51,249.42,244.1222
1/9/2019,246.59,713194,241.88,251.35,241.88
1/8/2019,242.21,778719,249.11,249.82,238.48
1/7/2019,246.43,567745,244.37,251.95,242.01
1/4/2019,243.6,405086,242.19,245.36,239.36
1/3/2019,239.69,594687,242.75,244.54,239.065
1/2/2019,243.3,444740,245.59,245.59,240.24
12/31/2018,247.99,443226,252.14,254.465,246.47
12/28/2018,249.95,404210,249.98,252.98,246.865
12/27/2018,248.47,395432,243.18,248.6,241.205
12/26/2018,248.91,413118,234.69,249,234.69
12/24/2018,234.35,249206,236.73,239.15,232.44
12/21/2018,239.49,1032821,238.01,245.655,236.25
12/20/2018,235.39,769114,238.55,241.575,231.28
12/19/2018,239.38,483360,243.77,247.7,236.76
12/18/2018,244.65,628946,243.05,245.68,238.5
12/17/2018,242.19,602709,247.19,247.19,238.8228
12/14/2018,249.01,528082,247.84,252.84,245.04
12/13/2018,250.16,510610,249.16,253.81,248.5
12/12/2018,249.68,640361,255.08,255.92,248.78
12/11/2018,252,550883,259.06,259.06,249.445
12/10/2018,255.21,598346,255.92,256.75,248.0859
12/7/2018,258.32,432304,264.6,267.44,257.11
12/6/2018,266.4,687055,263,266.805,256.62
12/4/2018,266.02,566663,277.04,278.025,263.14
12/3/2018,276.36,507884,282.44,284.7,276.315
11/30/2018,277.32,599660,280.33,282.21,277
11/29/2018,280.18,551955,272.52,282.4,270.67
