date,close,volume,open,high,low
12:49,123.59,"586,484",124.01,125.67,122.11
8/13/2019,126.15,1351756,125.64,130.72,124.15
8/12/2019,124.14,1713054,126.4,128.91,122.01
8/9/2019,126.11,2134993,131.86,133.335,125.29
8/8/2019,132.98,6001694,136.88,137,115
8/7/2019,142.26,1001246,142.1,143.42,139.1
8/6/2019,143.51,1188619,143.95,145.83,140.5
8/5/2019,142.7,1086691,143.15,144.63,138.6633
8/2/2019,146.14,1070573,147.89,148.2375,141.5
8/1/2019,148.02,949622,149.61,153,146.59
7/31/2019,148.85,981078,148.79,152.51,147.645
7/30/2019,149.66,626851,148.42,150.14,146.59
7/29/2019,148.12,498211,149.7,150.33,146.34
7/26/2019,149.37,421928,148.69,150.57,147.41
7/25/2019,147.61,593098,149.18,149.77,146.93
7/24/2019,149.4,1044745,145.91,149.6664,144.97
7/23/2019,145.76,1100888,144.76,145.94,141.43
7/22/2019,144.72,1251549,150.5,150.62,144.43
7/19/2019,149.26,1274911,151.94,152.0882,146.33
7/18/2019,151.63,805211,152.89,154.7,151.15
7/17/2019,154,686106,153.99,156.076,153.1039
7/16/2019,153.25,727589,157.33,157.33,152.15
7/15/2019,156.91,1064404,157,158.8,155.26
7/12/2019,156.1,962730,154.37,156.89,152.3
7/11/2019,154.24,1152941,151.91,156,150.42
7/10/2019,151.05,880410,150.79,152.46,147.9236
7/9/2019,150.51,1509425,149.5,151.418,147.21
7/8/2019,146.28,1580191,149.66,150.35,143.62
7/5/2019,150.8,922446,150.58,153.99,149.56
7/3/2019,151.47,1486235,150.09,153.6646,146.1355
7/2/2019,150.59,1976304,156.97,156.97,150.25
7/1/2019,156.6,2587138,154.5,157.28,150
6/28/2019,151.95,8070689,131.1,155.75,130.085
6/27/2019,129.76,1068860,128.76,131.654,128.55
6/26/2019,128.34,1338801,124.89,129.43,124.615
6/25/2019,124.16,1011001,128.55,129.95,123.79
6/24/2019,127.34,852579,130.23,131,126.45
