date,close,volume,open,high,low
12:51,24.435,"2,284,659",24.48,24.7,24.28
8/13/2019,25.14,12419710,23.88,25.345,23.79
8/12/2019,23.92,10196280,24.59,24.84,23.805
8/9/2019,24.72,7308583,25.07,25.275,24.71
8/8/2019,25.36,9301884,25.02,25.37,24.69
8/7/2019,24.7,10635870,24.02,24.81,23.96
8/6/2019,24.27,10110280,24.45,24.73,24.06
8/5/2019,23.95,10797940,24.44,24.5,23.685
8/2/2019,25.03,8321967,25.18,25.45,24.89
8/1/2019,25.65,11023000,26.36,26.79,25.29
7/31/2019,26.26,9769086,26.9,27.01,26.01
7/30/2019,26.87,7175363,27,27.08,26.68
7/29/2019,27.28,4842620,27.33,27.41,27.01
7/26/2019,27.33,7531856,27.45,27.64,27.26
7/25/2019,27.21,15639190,26.95,27.39,26.8
7/24/2019,27.17,15198140,26.5,27.28,26.41
7/23/2019,26.5,6782352,26.09,26.52,25.98
7/22/2019,25.85,7112061,25.6,26.03,25.539
7/19/2019,25.92,7402033,26.6,26.614,25.85
7/18/2019,26.39,9970975,26.09,26.6494,26.05
7/17/2019,26.1,10488500,26.01,26.28,25.69
7/16/2019,25.73,6720022,25.99,26.14,25.59
7/15/2019,26.01,9393083,25.55,26.18,25.55
7/12/2019,25.4,5473486,24.99,25.41,24.92
7/11/2019,24.89,6004591,25.11,25.15,24.71
7/10/2019,25.1,7479537,24.87,25.285,24.75
7/9/2019,24.56,6013288,24.01,24.67,24
7/8/2019,24.14,4879932,24.05,24.25,23.89
7/5/2019,24.3,5074014,24.46,24.53,24.05
7/3/2019,24.57,7971031,24.45,24.65,24.12
7/2/2019,24.03,6300472,24.23,24.24,23.94
7/1/2019,24.27,14323760,24.94,24.975,23.995
6/28/2019,23.87,14472420,24.13,24.24,23.745
6/27/2019,23.89,6706236,23.98,24.35,23.82
6/26/2019,23.71,10674050,23.82,24.2,23.67
6/25/2019,23.41,6013674,23.78,23.99,23.4
6/24/2019,23.78,6229809,23.92,24.14,23.745
6/21/2019,23.97,11021380,24,24.14,23.725
6/20/2019,24.12,8621485,24.87,24.92,24.035
6/19/2019,24.31,5964182,24.55,24.69,24.24
6/18/2019,24.55,8869027,23.97,24.6,23.9215
6/17/2019,23.72,5066430,23.77,24.015,23.63
