date,close,volume,open,high,low
12:40,81.52,"3,043,277",81.24,81.69,80.51
8/13/2019,83.32,6940602,81.17,84.15,80.85
8/12/2019,81.65,3762631,81.41,81.95,81.18
8/9/2019,81.98,5460193,83.14,83.43,81.32
8/8/2019,83,6208980,81.81,83.36,81.6092
8/7/2019,81.28,6275010,80.5,81.82,80.09
8/6/2019,81.3,8664534,79.85,81.59,79.49
8/5/2019,78.97,8493272,79.66,80.05,78.185
8/2/2019,81.14,8761409,82.53,83.24,80.79
8/1/2019,83.12,7871849,85.26,86.77,82.7
7/31/2019,86.03,5818168,87.09,87.27,85.55
7/30/2019,87.2,3562999,86.82,87.9108,86.36
7/29/2019,87.62,4387337,87.65,87.87,87.18
7/26/2019,87.54,3707249,87.44,87.84,86.77
7/25/2019,87.28,4546496,86.82,87.5,86.59
7/24/2019,86.7,6362911,86.65,87.21,86.305
7/23/2019,86.7,5659933,86.64,87.1,86.23
7/22/2019,85.97,6810325,86.56,86.99,85.83
7/19/2019,86.55,6635634,87.73,87.88,86.48
7/18/2019,87.44,4609157,87.63,87.76,86.755
7/17/2019,87.5,4461701,88.42,88.685,87.44
7/16/2019,88.6,5812813,89.5,89.7077,88.57
7/15/2019,89.48,3751294,89.06,89.87,89.06
7/12/2019,89.12,4240956,88.18,89.31,88.01
7/11/2019,88.29,3942358,87.71,88.3,87.4
7/10/2019,87.44,5985455,88.48,88.94,87.39
7/9/2019,88.04,6219722,88.1,88.8,87.82
7/8/2019,88.48,7051999,86.06,88.52,85.97
7/5/2019,86.82,6440908,85.8,86.91,85.42
7/3/2019,86.2,4012837,85.33,86.2901,85.12
7/2/2019,84.96,7189294,85.36,85.47,84.22
7/1/2019,85.41,6607555,84.93,86.28,84.9
6/28/2019,83.95,12443840,83.99,84.75,82.67
6/27/2019,83.66,11436710,82.93,83.77,82.93
6/26/2019,82.55,5838460,83.15,83.69,82.44
6/25/2019,82.62,7339868,84.6,84.69,82.16
6/24/2019,84.5,8043728,86,86.85,84.365
6/21/2019,85.75,9289833,85.16,85.75,84.6
6/20/2019,85.24,6163840,84.9,85.67,84.42
6/19/2019,83.55,6217785,83.73,83.9,83.14
6/18/2019,84.3,6456476,82.7,84.645,82.5
6/17/2019,82.11,5101891,83.34,83.46,82.01
6/14/2019,83.44,4355606,83.51,83.855,83.04
6/13/2019,83.61,3383394,83.15,83.915,83.045
6/12/2019,82.63,4026188,83.48,84.02,82.52
6/11/2019,83.26,3939370,83.65,84.335,83.125
6/10/2019,82.58,4419758,83.75,84.2,82.45
6/7/2019,83.41,3891114,83.09,83.68,82.81
6/6/2019,82.45,4952974,82.72,83.06,82.08
6/5/2019,82.72,8173198,82.29,82.9,81.93
6/4/2019,81.62,7526860,79.3,81.65,78.78
6/3/2019,77.96,11665480,77.24,78.58,77.08
5/31/2019,77.14,8891080,78,78.26,77.07
5/30/2019,79.26,6177832,78.92,79.73,78.61
5/29/2019,78.87,10116910,80.71,80.86,77.7
5/28/2019,81.2,7927485,82.85,83.19,81.13
5/24/2019,82.16,5998980,82.2,83.17,82.09
5/23/2019,82.64,9704192,82.5,83.06,81.99
5/22/2019,83.2,5237761,82.99,83.34,82.76
5/21/2019,83.64,5762586,83.36,83.8,82.51
5/20/2019,82.85,7182345,83.8,83.8,82.735
5/17/2019,84.57,5068366,83.51,85.515,83.5
5/16/2019,84.28,6745317,84.51,85.4,84.2
5/15/2019,84.01,4862202,83.17,84.49,82.94
5/14/2019,83.67,7529248,82.78,84,82.06
5/13/2019,82.53,6445267,81.65,82.63,81.32
5/10/2019,83.95,5450504,82.78,84.27,82.19
5/9/2019,82.98,6336567,82.21,83.01,81.5355
5/8/2019,82.77,9501257,82.43,83.99,82.14
5/7/2019,82.54,9811257,83.02,83.63,81.83
5/6/2019,83.57,12836650,83.77,83.87,82.86
5/3/2019,85.7,6798283,85.9,86.3,85.695
5/2/2019,85.27,6813740,86.21,86.28,84.985
5/1/2019,85.9,6524576,87.73,87.95,85.87
4/30/2019,87.83,7569165,88.29,88.4,87.26
4/29/2019,88.26,5008209,88.18,88.505,88.13
4/26/2019,88.31,6060305,87.95,88.94,87.33
4/25/2019,87.56,6866442,88.4,88.54,87.49
4/24/2019,88.39,8060326,87.67,88.8241,87.43
4/23/2019,87.43,7513422,87.57,87.67,87.0092
4/22/2019,87.36,5292061,88.35,88.64,87.3
4/18/2019,89.2,6921334,88.76,90,88.7
4/17/2019,88.73,5586181,87.95,88.97,87.45
4/16/2019,87.8,4652552,87,87.95,87
4/15/2019,86.83,5034861,86.89,87.2428,86.4388
4/12/2019,86.24,6035496,85.3,86.49,85.29
4/11/2019,85,3347278,84.9,85.05,84.2837
4/10/2019,84.88,3695441,84.64,85.01,84.56
4/9/2019,84.28,3802699,84.22,84.6,83.97
4/8/2019,84.73,4703971,85.01,85.29,84.57
4/5/2019,85.4,7280614,86,86.16,85.05
4/4/2019,85.28,3624219,84.49,85.38,84.36
4/3/2019,84.47,4041333,84.9,84.99,84.25
4/2/2019,84.37,4431854,85,85.26,84.16
4/1/2019,85.23,6162022,85.04,85.32,84.7
3/29/2019,84.21,6273052,84.6,84.85,83.86
3/28/2019,84.04,6021960,83.93,84.72,83.7
3/27/2019,83.09,6427990,83.69,83.8,82.04
3/26/2019,83.38,9437508,83.63,84.09,82.91
3/25/2019,82.33,15494670,81.48,83.22,80.89
3/22/2019,82.19,21640290,85.2,85.9,82.15
3/21/2019,88.01,9766815,87.24,88.12,86.83
3/20/2019,86.69,5959681,87.5,87.58,86.09
3/19/2019,87.69,6611232,88.22,88.59,87.29
3/18/2019,87.82,7708717,87.3,87.84,87
3/15/2019,86.8,11030300,87.22,87.6053,85.955
3/14/2019,86.87,5905519,86.15,86.88,85.7
3/13/2019,85.93,5037665,85.7,86.655,85.6
3/12/2019,85.43,4431015,85.78,86.08,85.02
3/11/2019,85.82,3915318,85.39,85.94,85.05
3/8/2019,84.8,4669075,84.58,84.88,84.02
3/7/2019,85.26,4244522,84.97,85.41,84.66
3/6/2019,85.13,3197751,85.6,85.99,85.04
3/5/2019,85.44,4801785,85.88,86.25,85.44
3/4/2019,85.64,7314775,87.32,87.99,85.11
3/1/2019,87.16,6313067,86.93,87.99,86.24
2/28/2019,85.73,4988103,86.08,86.4,85.68
2/27/2019,86.17,4588157,85.53,86.22,85.06
2/26/2019,85.8,6678195,85.31,86.08,85.2
2/25/2019,85.17,6227962,85.39,85.73,84.96
2/22/2019,84.76,4449464,84.2,85.02,84.0301
2/21/2019,83.95,8548669,83.57,84.152,83.35
2/20/2019,84.84,4113105,84.63,84.95,84.35
2/19/2019,84.57,5105853,84.58,85.05,84.46
2/15/2019,85.38,6099597,85.49,85.78,85.1
2/14/2019,84.68,4818426,84.61,85.14,83.7
2/13/2019,85.4,5029337,84.76,85.59,84.76
2/12/2019,84.71,6064505,83.97,84.84,83.62
2/11/2019,83.68,6157682,82.95,83.83,82.8704
2/8/2019,82.36,3786498,82.25,82.72,81.94
2/7/2019,82.39,4811641,82.15,82.845,81.71
2/6/2019,82.71,3682799,82.51,82.71,81.64
2/5/2019,82.86,6466540,81.98,83.19,81.93
2/4/2019,81.99,4222399,81.22,82,80.83
2/1/2019,81.51,5310068,81.83,81.9,81.13
1/31/2019,81.88,8598038,81.18,81.95,80.71
1/30/2019,81.28,5197888,80.4,81.29,80.0601
1/29/2019,80.22,4186228,80.36,80.83,79.84
1/28/2019,80.32,5416936,79.8,80.505,79.74
1/25/2019,80.61,4457056,81.25,81.3319,80.43
1/24/2019,80.44,4615259,80.6,80.87,79.55
1/23/2019,80.5,5721545,81.19,81.4,80.22
1/22/2019,80.75,8218282,80.33,81.3129,80.2
1/18/2019,80.45,10386740,79.95,80.97,79.74
1/17/2019,79.13,7719393,77.54,79.4,77.31
1/16/2019,77.68,5479452,78,78.85,77.5863
1/15/2019,77.88,6208058,76.19,77.98,76.13
1/14/2019,76.09,5566109,75.46,76.81,75.46
1/11/2019,76.04,10604750,76.34,76.89,75.8
1/10/2019,76.42,10975960,75.64,77.34,75.46
1/9/2019,76.59,8568712,76.97,77.15,76.14
1/8/2019,76.73,7836466,76.83,77.4,76.2
1/7/2019,75.72,8064941,74.74,76.365,74.3
1/4/2019,74.65,7751818,73.45,75.12,73.12
1/3/2019,72.75,8006512,73.25,73.32,71.21
1/2/2019,74.06,6758262,72.79,74.64,72.19
12/31/2018,74.14,5519125,73.98,74.46,73.515
